epoch,acc,loss,val_acc,val_loss
0,0.31742,1.84779718155,0.4459,1.54460605011
1,0.43228,1.55303020943,0.5061,1.36811654015
2,0.48346,1.43932011902,0.5417,1.27154156132
3,0.51644,1.35216865417,0.5632,1.21999765415
4,0.54652,1.27737661171,0.5773,1.19150701466
5,0.57084,1.21205603809,0.6127,1.08807575893
6,0.59136,1.16087387283,0.6429,1.00886966591
7,0.60888,1.11154057228,0.6626,0.967528753281
8,0.62254,1.07230816414,0.6722,0.92921906147
9,0.63322,1.04284604752,0.6809,0.907925253582
10,0.64216,1.01086830185,0.6994,0.867580495453
11,0.65532,0.984633577881,0.7077,0.840162804794
12,0.66128,0.96089932909,0.7081,0.832173620033
13,0.6692,0.943799565525,0.7237,0.798683133125
14,0.6783,0.923389279671,0.7259,0.787760745335
15,0.68326,0.911707542019,0.739,0.761557149601
16,0.68776,0.8969408008,0.7336,0.778695461464
17,0.69274,0.885178140316,0.7227,0.799070244884
18,0.69396,0.874696809616,0.7391,0.752914738464
19,0.69942,0.864438334312,0.7534,0.731418530941
20,0.7041,0.851795821247,0.7561,0.717961233521
21,0.70856,0.845848765316,0.7504,0.722983187294
22,0.7089,0.836361952667,0.7609,0.703826249409
23,0.71252,0.834135052452,0.7545,0.711667605782
24,0.71596,0.827266192245,0.7588,0.711571566868
25,0.71674,0.825405526543,0.7568,0.72127713995
26,0.71706,0.82076748394,0.766,0.695952672482
27,0.71858,0.820249195709,0.7599,0.704631328583
28,0.72018,0.814420417576,0.764,0.717029629421
29,0.71922,0.811523067894,0.7606,0.700328486347
30,0.7244,0.805348717918,0.762,0.700946310711
31,0.72494,0.800876847191,0.7702,0.696826038933
32,0.72732,0.795562075901,0.7687,0.703067760944
33,0.72644,0.794562055683,0.7658,0.707695654774
34,0.73034,0.794697267246,0.7719,0.675446495724
35,0.7286,0.794707314434,0.7549,0.73123707962
36,0.73084,0.788397424488,0.7654,0.703299073315
37,0.72986,0.788428969593,0.7649,0.689059617901
38,0.73488,0.779340892105,0.783,0.655966991043
39,0.73458,0.781055620861,0.773,0.663027283716
40,0.73324,0.783146379032,0.7811,0.646478544426
41,0.734,0.782197722473,0.78,0.66581409359
42,0.73614,0.782004054527,0.7766,0.654069262457
43,0.7347,0.779541040077,0.7827,0.67341741457
44,0.73668,0.774401898289,0.7737,0.669790746021
45,0.73674,0.777826189346,0.7714,0.677754057217
46,0.73822,0.771471090469,0.7471,0.757432813454
47,0.74012,0.768463208179,0.7851,0.649449640274
48,0.73962,0.769591604004,0.7912,0.635477031422
49,0.73932,0.767956825476,0.7761,0.685807642078
50,0.73818,0.766297139359,0.77,0.691229796124
51,0.74042,0.770071279697,0.7896,0.680383628654
52,0.73958,0.770580594673,0.7728,0.674533372688
53,0.7399,0.76734884613,0.7797,0.649370344019
54,0.74244,0.761858401823,0.7717,0.684282056618
55,0.74188,0.766336530323,0.7681,0.695808246994
56,0.74342,0.762664834194,0.7874,0.633546852398
57,0.74052,0.769229294214,0.7855,0.652580110359
58,0.74256,0.764878141727,0.7678,0.72227461195
59,0.7447,0.761533243999,0.7813,0.647902789783
60,0.74116,0.766383366814,0.7694,0.684349511385
61,0.74186,0.768163634663,0.7898,0.667092194462
62,0.74226,0.766575568142,0.785,0.664326840115
63,0.74256,0.769768439827,0.7849,0.686391011333
64,0.74206,0.767945645065,0.7682,0.709781745434
65,0.73998,0.771661855135,0.7673,0.690505479002
66,0.74186,0.768348516331,0.7826,0.717219017696
67,0.74404,0.76970535305,0.7876,0.647772522259
68,0.7435,0.770355574989,0.7799,0.736516252613
69,0.74124,0.774199932985,0.7817,0.691154198647
70,0.74156,0.774829461145,0.7902,0.667388491249
71,0.74302,0.773118414726,0.7775,0.673069169712
72,0.73966,0.781983497505,0.7836,0.659491038227
73,0.7421,0.774161049404,0.7761,0.679203467178
74,0.7388,0.780729834843,0.7841,0.711676513195
75,0.7413,0.780324386129,0.7758,0.719737541771
76,0.73944,0.779232062035,0.7554,0.7348016469
77,0.73896,0.782810447025,0.776,0.669903873205
